voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
162,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,private (in-house),permanent,26,21,NONE / Not Applicable,NA,NA,NA,NA,None.,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,Teaching,Master's degree (non-MLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Funding,NA,NA,Competencies of Librarians,NA,NA,NA,NA,Region IV,No,Yes,Waray,None.,Academic,None.,Supervisor,Administration,"PLAI, Cavite Librarians Inc.,",NA
163,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,government,NA,28,20,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,monetary allowances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)",NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region I,Yes,Yes,Others,NA,NA,faculty,librarianII,Management,plai aslp,professional development
164,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,45,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,24,5,paid vacation and/or sick leaves,NA,NA,NA,NA,"Collective Negotiation Agreement (CNA)
Clothing Allowance
Year-end Bonus
PBB
PEI
Monetization",NA,NA,NA,archives (physical),institutional files and records,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,Non-print materials,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),No.,Master's degree (non-MLIS),Yes,Master's degree (MLIS),government facilitated trainings and symposiums,NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)",NA,"No, the amount of trainings I received within the last two (2) years is not enough.",the scheduled date because sometimes i can not attend seminars when we are also busy in the school,NA,NA,"Collection Management
Cataloguing
Indexing",NA,NA,NA,NA,Region I,No,Yes,Pangasinense,NA,School Library,NA,School Librarian III,Administration/Management,PLAI,NA
165,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (BPO),permanent,21,20,health card and/or insurance other than PhilHealth,monetary allowances,paid vacation and/or sick leaves,NA,NA,Dental allowance,NA,NA,NA,data sets,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,AV materials,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.","Schedule in work.
Financial budget.",NA,NA,"Trends and issues in library.
Digitalizatiin of library.
Librarians as teachers and guidance counselors.",NA,NA,NA,NA,NCR,Yes,Yes,Others,Karay-q,School library ( Private),Teacher,Librarian,Circulation librarian,None,"Availability.
Number of training provided.
Active"
166,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,37,"Yes, I am currently employed by an institution, agency, individual or similar.",library,14,private (in-house),permanent,40,25,paid vacation and/or sick leaves,monetary allowances,free shuttle service,health card and/or insurance other than PhilHealth,NA,We have our educational bonus every March 10. Christmas gift every Nov. 10 and 13th month pay.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Books, AV materials, Teacher's classroom materials (kits, games, puzzles, puppets, etc.) Textbooks.",NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,Master's degree (MLIS),Yes,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,within the work place (in-house trainings),NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.","Not all the CPD trainings are fit to my line of work. The date, time and location of the CPD trainings also is into consideration.",NA,NA,Libraries for home school children.,NA,NA,NA,NA,Region IV,No,Yes,NA,None. But I am learning Korean.,School library.,I am a teacher librarian and an admin staff.,Lower School Librarian.,Teacher Librarian.,"PLAI, PASLI",To establish professional relationship and collaboration.
167,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,35,"Yes, I am currently employed by an institution, agency, individual or similar.",library,14,government,permanent,26,22,paid vacation and/or sick leaves,NA,NA,NA,NA,"13th month pay, 14th month pay, clothing allowance, Performance-based bonus, Performance enhancement incentive, CNA",NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,"Computers, Audio-visual materials",NA,NA,NA,supervisory / mid-management level,Yes,N/A,Master's degree (MLIS),No.,NA,No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",n/A,NA,NA,"cataloguing non-book materials, DDC",NA,NA,NA,NA,Region II,No,No,Ilocano,n/A,academic library,Researcher,Sole librarian,"Administration, Management, Cataloguing, Collection development, Records officer, Manager",PLAI,Career development
168,"No, I have not renewed my license","Yes, I am currently residing and staying in the Philippines",Woman,38,"Yes, I am currently employed by an institution, agency, individual or similar.",library,17,government,permanent,NA,NA,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,NA,Master's degree (MLIS),No.,NA,Maybe,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Ilonggo,NA,NA,NA,NA,Admin,NA,NA
169,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,42,"Yes, I am currently employed by an institution, agency, individual or similar.",library,20,government,permanent,58,32,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (non-BLIS),No.,NA,Yes,Master's degree (MLIS),government facilitated trainings and symposiums,NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",none,NA,NA,inclusion of provincial libraries in RA 7743,NA,NA,NA,NA,Region V,No,No,Bicolano,NA,LGU library,n/a,Librarian IV,Officer -in- Charge,ALPS,possible collaborations
170,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,government,permanent,NA,NA,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",institutional files and records,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)",NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,"Supervisory track
Management trainings",NA,NA,NA,NA,Region I,No,No,Ilocano,NA,Public library,None,Sole librarian,All,Plai,None
171,"No, I have not renewed my license","No, I am currently residing outside the Philippines",Woman,42,"Yes, I am currently employed by an institution, agency, individual or similar.",library,15,private (in-house),permanent,100,95,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,monetary allowances,NA,NA,Annual Airfare to home country,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,"Providing online article request, online renewal and online book reservation, online chat",NA,NA,NA,entry level / junior staff,Yes,NA,Master's degree (MLIS),Yes,Short | Certificate | Diploma Program,Yes,Doctor of Philosophy (Ph.D),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),As I have read CPD is like business in the Philippines,NA,NA,"Cataloging, branding and library promotion",NA,NA,NA,NA,NCR,Yes,Yes,Bicolano,English only,Academic library,NA,Assistant Librarian,"Cataliging, circulation",PAARL,"To connect with fellow librarians, to be abreast in new trends in librarianship"
172,"No, I have not renewed my license","Yes, I am currently residing and staying in the Philippines",Woman,45,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,private (in-house),permanent,13,11,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,13th month pay,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (non-MLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings received within the last two (2) years is too much.",availability of trainings in my own city,NA,NA,NA,NA,NA,NA,NA,Region VII,No,No,Cebuano,NA,school library,college teacher,sole librarian,all of the above,NA,NA
173,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,4,private (in-house),permanent,18,17,paid vacation and/or sick leaves,NA,NA,NA,NA,Clothing allowance,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",institutional files and records,law materials and resources,hardcopy theses and dissertations,NA,NA,"Audio visual materials, audiovisual equipment",NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),Community services,Master's degree (MLIS),No.,NA,No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Not enough CPD approved seminars that are near us,NA,NA,"RDA, technology in the library, marketing",NA,NA,NA,NA,CAR,Yes,No,Others,NA,Academic,NA,Librarian working with other librarians,"Management, bibliographic control, collection development l, reference, records officer",PLAI,NA
174,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,32,"Yes, I am currently employed by an institution, agency, individual or similar.",library,11,government,permanent,26,18,monetary allowances,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,NA,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",from the work place (private sponsorship),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region II,Yes,Yes,Others,"Itawes, Ilocano, Ibanag",Academic Library,None,Sole librarian with library assistants,"Management, cataloging, bibliographic control, collection development, reference, records officer...","PLAI, PAARL",NA
175,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,22,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (in-house),contractual,11,10,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,No (planning to shift to other fields or industry),NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Juris Doctor / Bachelor of Laws,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",institution's seminar approval,NA,NA,archiving,NA,NA,NA,NA,NA,Yes,No,Cebuano,NA,School library,none,SHS Librarian,"Management,Cataloging,Reference,Bibliographic Control","PLAI
PASLI",NA
176,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,27,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,government,permanent,31,26,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,No (planning to shift to other fields or industry),Special library,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",So much paper work/ activities to do during the seminar,NA,NA,disaster management,NA,NA,NA,NA,Region IV,Yes,Yes,NA,NA,Academic,NA,Head Librarian,Administration,PLAI,NA
177,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,35,"Yes, I am currently employed by an institution, agency, individual or similar.",library,14,private (in-house),permanent,18,17,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,"free lunch
rice allowance",NA,NA,NA,"electronic material (digital titles, digital archives, etc)",law materials and resources,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,na,Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.","Limited time
Limited funds",NA,NA,"Information Technology
Library Management
Cataloging
Trends in the Library
Professional Competencies in the 21st century",NA,NA,NA,NA,Region III,No,Yes,Ilocano,NA,Academic library,NA,Mid-Level Librarian / Asst. Librarian,"Cataloging, Reference","PLAI, PAARL, PGLL, PUPLSAA","Related to the company I am working with. 
like if I work in the law library, I am active to PGLL
PAARL if in academic/research library and to the alumni association where I graduated."
178,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (in-house),contractual,20,17,paid vacation and/or sick leaves,night differential pay,NA,NA,NA,Educational Support,Hospital Discount,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,Encoding abstracts online,NA,NA,NA,entry level / junior staff,Maybe / Undecided,Business Management,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Budget approval,NA,NA,Archives and Records Management,NA,NA,NA,NA,NCR,Yes,Yes,Others,English,Academic Library,"Data Manager, Encoder, Consultant",Junior Librarian,Aviation Library,MAHLAP,Mother's influence
179,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,NA,NA,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,Doctor of Philosophy (Ph.D),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,Region XII,No,Yes,Cebuano,NA,Academic Library,NA,Mid-level Librarian,Reference/Bibliographic control,NA,NA
180,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,28,24,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (non-MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region VII,No,No,Cebuano,NA,NA,NA,NA,NA,"PLAI, MAHLAP",Professional Development
181,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,30,"Yes, I am currently employed by an institution, agency, individual or similar.",archives and/or records management,2,private (BPO),contractual,27,25,monetary allowances,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,No (planning to shift to other fields or industry),I currently work in a BPO and I am planning to shift to records management or project management,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Juris Doctor / Bachelor of Laws,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),"Schedule, budget",NA,NA,"Digital records management, oral history",NA,NA,NA,NA,NCR,Yes,Yes,Cebuano,NA,Not applicable,Clerical work,Business Assistant,Not applicable,None,"Budget,"
182,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",library,8,government,permanent,20,18,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,institutional files and records,archives (physical),NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,Maybe,NA,government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,from the work place (private sponsorship),"from the government (scholarships, free trainings and seminars, etc)",NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,Librarians competencies,NA,NA,NA,NA,Region X,Yes,Yes,NA,NA,Academic library in a Government Institution,NA,Mid-level librarian working with other librarian,"Reference, Collection Development",PLAI,NA
183,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,private (in-house),permanent,2,2,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,13th month pay & Christmas bonus,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,serials and non-print materials,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Short | Certificate | Diploma Program,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Conflict on work schedule since I am a one-man librarian I can't close the library right away just to attend trainings.,NA,NA,More on about library collections and library management.,NA,NA,NA,NA,NCR,No,Yes,Cebuano,NA,School library,Cluster Head at an organization of five (5) cluster schools,Head Librarian working with other librarian,"Administration / Management, Cataloging / Bibliographic Control, Collection Development, Reference, Records Officer / Manager","PASLI, PNULISAA",The organization should help me grow professionally and is connected to the institution I am working in.
184,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,30,"Yes, I am currently employed by an institution, agency, individual or similar.",library,10,private (in-house),permanent,19,NA,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,RVM retirement,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",law materials and resources,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Acquiring Seminar with CPD points expensive.,NA,NA,Library Management trends,Cataloging and classification,NA,NA,NA,NA,No,Yes,Cebuano,NA,NA,Data encoder,Technical Librarian,Cataloging,PLAI,To update my profession or for professional growth
185,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,55,"Yes, I am currently employed by an institution, agency, individual or similar.",library,8,private (BPO),permanent,30,27,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,"allowed 5 days leave with pay after 1 yr  of service, additional 2 days added every yrs of service in the company",NA,NA,NA,institutional files and records,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),No.,NA,Maybe,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,within the work place (in-house trainings),NA,from the work place (private sponsorship),NA,NA,Maybe,"high fee most, and travel which will cost more financial support",NA,NA,updates on the CHED / accreditation  requirements that should link with the present technology,NA,NA,NA,NA,NCR,No,Yes,Ilocano,NA,college,NA,head librarian,administration,PLAI PAARL CAMANAVA,NA
186,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,31,"Yes, I am currently employed by an institution, agency, individual or similar.",library,10,private (in-house),permanent,68,60,monetary allowances,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,Research iand publication incentives and conference grants,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",institutional files and records,hardcopy theses and dissertations,law materials and resources,hardcopy books / pamphlets / etc,NA,NA,Online databases and print and non-print serials,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",difficulty in looking for the training that fits my work and interests,NA,NA,"collection development, media and information literacy, research visibility, cultural heritage, cataloging",NA,NA,NA,NA,NCR,Yes,Yes,NA,Bahasa,Academic library,NA,Mid-level working with other librarian,collection development,"PLAI, PAARL, UPLSAA, PUPLSAA",something that would benefit more librarians especially in the acquisition or enhancement of new skills and knowledge
187,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,27,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",LGBTQ+,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),permanent,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"Yes, I have a valid and up-to-date PRC license for librarians","No, I am currently residing outside the Philippines",Woman,33,"Yes, I am currently employed by an institution, agency, individual or similar.",library,9,private (in-house),contractual,57,55,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),Maybe,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",No budget for the upcoming seminars,NA,NA,"Related to digital archiving, customer handling, cataloging and classification",NA,NA,NA,NA,NA,Yes,Yes,Ilonggo,NA,School library,Elementary,Sole librarian,Teacher librarian,PLAI,cpd points
190,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,government,permanent,26,26,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region VII,No,No,Cebuano,NA,School/Public,NA,Librarian II,All of the above,"PLAI, PLAI-NIRLC",Belongingness
